"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","10.0.2","MIT","Copyright (c) 2023 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/elements","12.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Felements"
"nodejs","@angular/forms","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/localize","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Flocalize"
"nodejs","@angular/platform-browser","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","10.2.5","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@babel/core","7.11.1","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/core","7.8.3","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@ckeditor/ckeditor-cloud-services-core","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor-cloud-services-core"
"nodejs","@ckeditor/ckeditor5-adapter-ckfinder","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-adapter-ckfinder"
"nodejs","@ckeditor/ckeditor5-angular","2.0.2","GPL-2.0-or-later","Copyright (c) 2003-2023, [CKSource](http://cksource.com) Holding sp. z o.o. All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-angular"
"nodejs","@ckeditor/ckeditor5-autoformat","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-autoformat"
"nodejs","@ckeditor/ckeditor5-basic-styles","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-basic-styles"
"nodejs","@ckeditor/ckeditor5-block-quote","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-block-quote"
"nodejs","@ckeditor/ckeditor5-build-classic","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-build-classic"
"nodejs","@ckeditor/ckeditor5-ckfinder","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-ckfinder"
"nodejs","@ckeditor/ckeditor5-clipboard","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-clipboard"
"nodejs","@ckeditor/ckeditor5-cloud-services","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-cloud-services"
"nodejs","@ckeditor/ckeditor5-core","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-core"
"nodejs","@ckeditor/ckeditor5-easy-image","25.0.0","GPL-2.0-or-later","Copyright (c) 2003–2023, [CKSource Holding sp. z o.o.](https://cksource.com) All rights reserved.","https://www.npmjs.com/package/%40ckeditor%2Fckeditor5-easy-image"
